Headline,Date,category
"
	            Mali: Proteste gegen Frankreich, für Kooperation mit Russland
	        ","
			23.09.2020 21:39 Uhr
		",afrika
"
	            Innenminister Libyens trifft deutschen Botschafter: ""Russische Söldner müssen ausgewiesen werden""
	        ","
			23.09.2020 21:10 Uhr
		",afrika
"
	            Killer im Wasser: Botsuanische Behörden finden mögliche Ursache für massenhaftes Elefantensterben
	        ","
			22.09.2020 13:11 Uhr
		",afrika
"
	            Chance auf Versöhnung in Libyen? Ministerpräsident as-Sarradsch will seinen Posten räumen
	        ","
			17.09.2020 10:57 Uhr
		",afrika
"
	            Nach Putsch in Mali: AfD und Linke fordern Abzug der Bundeswehr
	        ","
			10.09.2020 20:13 Uhr
		",afrika
"
	            Zufluchtsort für Rassismus-Opfer: R&B-Sänger plant Bau einer panafrikanischen Metropole
	        ","
			6.09.2020 07:30 Uhr
		",afrika
"
	            Überschwemmungen im Sudan: Regierung ruft für drei Monate Notstand aus
	        ","
			5.09.2020 21:35 Uhr
		",afrika
"
	            Kramp-Karrenbauer nach Putsch in Mali: ""Terrorismus weiterhin eine Bedrohung für uns""
	        ","
			2.09.2020 16:19 Uhr
		",afrika
"
	            Sudan: Regierung unterzeichnet nach 17 Jahren Konflikt Friedensabkommen mit Rebellengruppen
	        ","
			1.09.2020 11:58 Uhr
		",afrika
"
	            Botschafter in Simbabwe: Corona darf nicht als Ausrede für Freiheitseinschränkungen benutzt werden
	        ","
			29.08.2020 19:06 Uhr
		",afrika
"
	            Unmoralisches Angebot?: USA bieten Sudan Streichung von Terrorliste gegen Entschädigung für Opfer
	        ","
			28.08.2020 11:08 Uhr
		",afrika
"
	            Rückkehr in die Kasernen? Mali gegen den Rest der Welt
	        ","
			21.08.2020 21:43 Uhr
		",afrika
"
	            Ägyptens rote Linie hat gewirkt: Libysche Regierung verkündet Waffenstillstand
	        ","
			21.08.2020 19:27 Uhr
		",afrika
"
	            ""Israel-Sudan-Beziehungen waren nie Thema"" – Sudanesisches Außenamt feuert seinen Sprecher
	        ","
			20.08.2020 12:39 Uhr
		",afrika
"
	            Putsch in Mali: Präsident Ibrahim Boubacar Keïta tritt zurück
	        ","
			19.08.2020 10:12 Uhr
		",afrika
"
	            Schüsse auf Militärstützpunkt in Mali – Berichte über Putschversuch
	        ","
			18.08.2020 18:33 Uhr
		",afrika
"
	            Vergessene Insel, vergessener Kontinent: Öl-Katastrophe in Mauritius kaum von Interesse
	        ","
			14.08.2020 09:51 Uhr
		",afrika
"
	            Sudan: 25 Tote bei Kämpfen in Port Sudan am Roten Meer
	        ","
			12.08.2020 19:22 Uhr
		",afrika
"
	            Kolonialverbrechen: Namibia lehnt Entschädigungsangebot aus Deutschland ab
	        ","
			12.08.2020 14:15 Uhr
		",afrika
"
	            Niger: Sechs Franzosen und zwei Nigrer bei Angriff getötet
	        ","
			10.08.2020 12:24 Uhr
		",afrika
"
	            Ölkatastrophe vor Mauritius: Schiffinhaber entschuldigt sich, Regierungschef bittet um Auslandshilfe
	        ","
			8.08.2020 14:30 Uhr
		",afrika
"
	            Rekordanstieg des Goldpreises verdreifacht Gewinne südafrikanischer Minen
	        ","
			8.08.2020 07:15 Uhr
		",afrika
"
	            Deutschland ist mit dabei: Frankreich will mit Spezialkräften im Sahel ""Sieg"" erzwingen
	        ","
			24.07.2020 08:30 Uhr
		",afrika
"
	            Südafrika: Lastwagen mit Coronavirus-Proben bei Raubüberfall gestohlen
	        ","
			22.07.2020 20:17 Uhr
		",afrika
"
	            Militäreinsatz in Libyen: Ägyptisches Parlament gibt grünes Licht
	        ","
			21.07.2020 16:05 Uhr
		",afrika
"
	            Staudamm-Streit: Äthiopien weist Berichte über Beginn der Aufstauarbeiten zurück
	        ","
			17.07.2020 06:00 Uhr
		",afrika
"
	            Frankreichs geplatzte Träume in Libyen
	        ","
			16.07.2020 08:34 Uhr
		",afrika
"
	            ""Godzilla"" überfliegt Atlantik: ESA zeigt Staubwolke aus Sahara unterwegs nach Amerika
	        ","
			14.07.2020 06:15 Uhr
		",afrika
"
	            Studie: Wie die Bill-und-Melinda-Gates-Stiftung die Not in Afrika verschärft
	        ","
			13.07.2020 14:20 Uhr
		",afrika
"
	            Komplexer Stellvertreterkrieg in Libyen: Ankara sinnt auf Vergeltung nach Luftangriff
	        ","
			7.07.2020 18:03 Uhr
		",afrika
"
	            Mindestens 166 Tote bei Protesten und ethnischen Spannungen in Äthiopien
	        ","
			5.07.2020 14:59 Uhr
		",afrika
