Headline,Date,category
"
	            Weder Rum noch Zigarren: Kuba verurteilt neue US-Sanktionen als ""grausam und kriminell""
	        ","
			24.09.2020 12:27 Uhr
		",amerika
"
	            Maduro: Vereitelte Terroranschläge und Sabotageakte wurden von der CIA in Auftrag gegeben
	        ","
			24.09.2020 07:35 Uhr
		",amerika
"
	            Ex-Präsident Correa von Wahlen ausgeschlossen: Auch in Ecuador politische Verfolgung durch Justiz
	        ","
			20.09.2020 20:42 Uhr
		",amerika
"
	            Peruanische Wahrsager uneins über den zukünftigen US-Präsidenten (Video)
	        ","
			19.09.2020 20:34 Uhr
		",amerika
"
	            Peru: Parlament lehnt Amtsenthebung von Präsident Martín Vizcarra ab
	        ","
			19.09.2020 15:48 Uhr
		",amerika
"
	            Venezolanische Luftabwehr schießt Drogenflugzeug mit US-Kennzeichen ab
	        ","
			16.09.2020 11:50 Uhr
		",amerika
"
	            Neue Anklage gegen Lula da Silva: Brasiliens Ex-Präsident soll sich wegen Geldwäsche verantworten
	        ","
			15.09.2020 16:59 Uhr
		",amerika
"
	            Wie Bundesregierung und EU den Wahlboykott der radikalen Opposition in Venezuela unterstützen
	        ","
			15.09.2020 15:26 Uhr
		",amerika
"
	            Venezuela verschärft Sicherheitsvorkehrungen in Ölraffinerien nach Festnahme eines ""US-Spions""
	        ","
			12.09.2020 13:01 Uhr
		",amerika
"
	            Peruanisches Parlament stimmt für Amtsenthebungsverfahren gegen Präsident Martín Vizcarra
	        ","
			12.09.2020 06:44 Uhr
		",amerika
"
	            Boykott oder Beteiligung an Parlamentswahl in Venezuela? Opposition komplett zerstritten
	        ","
			11.09.2020 16:31 Uhr
		",amerika
"
	            Brasilien: Mitarbeiter der Indigenen-Behörde durch Giftpfeil getötet
	        ","
			11.09.2020 13:04 Uhr
		",amerika
"
	            Kolumbien: Mindestens fünf Tote bei Protesten gegen Polizeigewalt
	        ","
			11.09.2020 10:31 Uhr
		",amerika
"
	            Donald Trump verlängert ausgeweitete Handelsblockade gegen Kuba um ein Jahr
	        ","
			10.09.2020 14:50 Uhr
		",amerika
"
	            Argentinien führt Transgenderquote im öffentlichen Dienst ein
	        ","
			9.09.2020 14:30 Uhr
		",amerika
"
	            Bolivien: Gericht verbietet Ex-Staatschef Evo Morales Kandidatur für Senat
	        ","
			8.09.2020 16:18 Uhr
		",amerika
"
	            Brasilien: Tag des Amazonas-Regenwaldes wird von andauernden Bränden überschattet
	        ","
			5.09.2020 19:32 Uhr
		",amerika
"
	            Kuba: Havannas Gouverneur verhängt erneut strikten Lockdown
	        ","
			2.09.2020 22:42 Uhr
		",amerika
"
	            ""Nationale Versöhnung"": Venezuelas Präsident Maduro begnadigt über 100 Oppositionspolitiker
	        ","
			1.09.2020 22:08 Uhr
		",amerika
"
	            Proteste in Buenos Aires gegen den Schweinehandel mit China (Video)
	        ","
			1.09.2020 18:49 Uhr
		",amerika
"
	            Raketenprogramm: Iranische Schiffsladungen mit Aluminiumoxid in Venezuela?
	        ","
			1.09.2020 06:15 Uhr
		",amerika
"
	            USA verschärfen erneut Sanktionen und wollen Venezuela komplett von Dieselzufuhr abschneiden
	        ","
			31.08.2020 06:45 Uhr
		",amerika
"
	            Bolivien: Putschregierung nutzt COVID-19-Pandemie als Vorwand im Kampf gegen Widersacher
	        ","
			29.08.2020 07:45 Uhr
		",amerika
"
	            Will Venezuela iranische Raketen kaufen?
	        ","
			26.08.2020 12:14 Uhr
		",amerika
"
	            Schüler in Mexiko sollen per TV und Radio unterrichtet werden
	        ","
			25.08.2020 23:03 Uhr
		",amerika
"
	            Razzia gegen Party trotz Corona-Einschränkungen in Peru: 13 Gäste sterben im Gedränge
	        ","
			23.08.2020 12:44 Uhr
		",amerika
