Headline,Date,category
"
	            Paris weist Londons ""Einschüchterung"" nach Warnungen vor Transportverzögerungen nach Brexit zurück
	        ","
			27.09.2020 21:12 Uhr
		",europa
"
	            ""Logik der Demokratie"": Macron und Lukaschenko fordern sich gegenseitig zum Rücktritt auf
	        ","
			27.09.2020 20:32 Uhr
		",europa
"
	            Wahleinmischung? US-Botschafter in Niederlande soll Spenden für rechte Partei gesammelt haben
	        ","
			27.09.2020 20:16 Uhr
		",europa
"
	            Eskalation in Bergkarabach: Sergei Lawrow und Mevlüt Çavuşoğlu besprechen Situation am Telefon
	        ","
			27.09.2020 16:09 Uhr
		",europa
"
	            Konflikt um Bergkarabach – Laue Reaktionen aus EU
	        ","
			27.09.2020 14:44 Uhr
		",europa
"
	            Staatliche Almosen für die Queen – Britische Steuerzahler ""not amused""
	        ","
			27.09.2020 13:54 Uhr
		",europa
"
	            So geht Demokratie: Schweizer Bevölkerung zur Abstimmung über grundlegende Themen aufgerufen
	        ","
			27.09.2020 12:14 Uhr
		",europa
"
	            Armenien ruft Kriegszustand und Mobilmachung wegen Eskalation in Bergkarabach aus
	        ","
			27.09.2020 11:27 Uhr
		",europa
"
	            Russlands Außenministerium ruft Konfliktseiten in Bergkarabach zu Waffenruhe auf
	        ","
			27.09.2020 09:56 Uhr
		",europa
"
	            Aus Angst vor Abschiebung: Flüchtlingskinder in Schweden simulierten Krankheiten
	        ","
			27.09.2020 09:24 Uhr
		",europa
"
	            Konflikt in Bergkarabach eskaliert wieder: Armenien und Aserbaidschan werfen einander Offensive vor
	        ","
			27.09.2020 08:24 Uhr
		",europa
"
	            Unterschiedlich schnell: Tempolimit in Österreich gilt nicht für inländische E-Autos
	        ","
			26.09.2020 19:43 Uhr
		",europa
"
	            Intransparente Millionen in Brüssel – Wie Facebook, Google, Amazon und Co Einfluss auf die EU nehmen
	        ","
			26.09.2020 14:27 Uhr
		",europa
"
	            26 Tote beim Absturz eines Militärflugzeuges in der Ukraine
	        ","
			26.09.2020 06:37 Uhr
		",europa
"
	            Belgrad und Pristina haben offenbar eine Lösung: Umstrittener See soll ""Lake Trump"" heißen
	        ","
			25.09.2020 21:59 Uhr
		",europa
"
	            Ukraine: Mehr als 20 Tote bei Absturz eines Militärflugzeugs
	        ","
			25.09.2020 21:18 Uhr
		",europa
"
	            Zahl positiv Getesteter steigt: Österreich vor neuem Corona-Lockdown?
	        ","
			25.09.2020 18:40 Uhr
		",europa
"
	            Wegen Beteiligung an Protesten gegen IS-Belagerung von Kobane: Türkei ordnet 82 Festnahmen an
	        ","
			25.09.2020 17:41 Uhr
		",europa
"
	            ""Man kann auch Urlaub im Inland machen"": Spahn rät von Auslandsreisen in Herbst- und Winterferien ab
	        ","
			25.09.2020 15:13 Uhr
		",europa
"
	            Paris: Messerangriff in Nähe von früherem ""Charlie Hebdo""-Büro – Terrorhintergrund wird geprüft
	        ","
			25.09.2020 12:46 Uhr
		",europa
"
	            Spürhunde identifizieren am Flughafen von Helsinki Corona-Infizierte
	        ","
			25.09.2020 08:50 Uhr
		",europa
"
	            Fall Nawalny: Russland will Antworten innerhalb von zehn Tagen
	        ","
			24.09.2020 18:45 Uhr
		",europa
"
	            ""Als Reaktion auf Nawalny"" – Britische See- und Luftstreitkräfte drängen ins ""russische Hinterland""
	        ","
			24.09.2020 13:31 Uhr
		",europa
"
	            Nach neuen Terrordrohungen gegen Charlie Hebdo: Französische Medien nehmen Satiremagazin in Schutz
	        ","
			24.09.2020 11:11 Uhr
		",europa
