Headline,Date,category
"
	            Ukrainischer Kleriker warnt vor den ""Schweinereien"" der Transhumanisten
	        ","
			28.09.2020 06:45 Uhr
		",gesellschaft
"
	            Der Magnet-Künstler: Kleben und kleben lassen (Video)
	        ","
			27.09.2020 19:55 Uhr
		",gesellschaft
"
	            Es grünt: Guccis ""Gärtner-Jeans"" mit Grasflecken für knapp 700 Euro wird zum Lachobjekt auf Twitter
	        ","
			26.09.2020 16:55 Uhr
		",gesellschaft
"
	            Chef des Weltwirtschaftsforums: Neoliberalismus wegen COVID-19-Pandemie endgültig erledigt
	        ","
			26.09.2020 16:20 Uhr
		",gesellschaft
"
	            Umstrittene Maßnahme: Absichtliche Corona-Infektionen für Impfstoff-Tests in London geplant
	        ","
			26.09.2020 09:41 Uhr
		",gesellschaft
"
	            Mit Biosensor-Implantaten gegen Corona? Nicht nur eine Verschwörungstheorie
	        ","
			26.09.2020 07:45 Uhr
		",gesellschaft
"
	            Corona-Ausschuss: ""Wer keine Maske trägt, der klaut, raubt, mordet"" – Teil 2
	        ","
			25.09.2020 19:43 Uhr
		",gesellschaft
"
	            Oxfam: Das reichste Prozent der Menschen verursacht 15 Prozent der CO2-Emissionen
	        ","
			23.09.2020 06:30 Uhr
		",gesellschaft
"
	            Autor Milosz Matuschek: ""Cancel Culture"" führt in die intellektuelle Ödnis
	        ","
			22.09.2020 10:00 Uhr
		",gesellschaft
"
	            Wegen Anonymität: Banksy büßt Markenrecht an renommiertem Blumenwerfer-Motiv ein
	        ","
			21.09.2020 09:12 Uhr
		",gesellschaft
"
	            China-Kritiker rufen zu Boykott von ""Mulan"" auf
	        ","
			21.09.2020 06:15 Uhr
		",gesellschaft
"
	            1.600 Euro fürs Nichtstun: Hamburger Stipendium zieht Bewerber aus aller Welt an
	        ","
			20.09.2020 16:36 Uhr
		",gesellschaft
"
	            ""Die Menschen verkümmern vor Einsamkeit zu Tode!"" – Pfarrer prangert Corona-Maßnahmen an""
	        ","
			20.09.2020 12:19 Uhr
		",gesellschaft
"
	            Das Sarg-Fahrrad: ""Der Tod muss in die Gesellschaft zurückgebracht werden"" (Video)
	        ","
			19.09.2020 12:00 Uhr
		",gesellschaft
"
	            Manuela Schwesig erhält Preis für offenen Umgang mit Krebserkrankung
	        ","
			19.09.2020 10:21 Uhr
		",gesellschaft
"
	            Corona-Ausschuss: ""Wer keine Maske trägt, der klaut, raubt, mordet"" – Teil 1
	        ","
			18.09.2020 19:43 Uhr
		",gesellschaft
"
	            Dr. Claus Köhnlein über ""fatale Corona-Experimente"" der WHO
	        ","
			18.09.2020 18:01 Uhr
		",gesellschaft
"
	            Opernstar Netrebko mit COVID-19 im Krankenhaus: ""Bereue Arbeit während Pandemie nicht""
	        ","
			18.09.2020 06:15 Uhr
		",gesellschaft
"
	            Aus Angst vor Covid-Ansteckung: Fußballteam hält soziale Distanz ein und verliert mit 0:37
	        ","
			17.09.2020 17:30 Uhr
		",gesellschaft
"
	            Odyssee statt Spritztour: Zwei Rentner irren 15 Stunden lang umher
	        ","
			17.09.2020 12:20 Uhr
		",gesellschaft
"
	            Snowden: Auslieferung von Assange wird zum Ende der freien Presse führen
	        ","
			16.09.2020 09:22 Uhr
		",gesellschaft
"
	            FAS druckt Böhmermann-Interview nicht – Satiriker stellt gesamtes Gespräch auf Twitter
	        ","
			15.09.2020 06:15 Uhr
		",gesellschaft
"
	            Zu freizügig für hohe Kunst: Pariser Museum lässt Besucherin mit zu tiefem Dekolleté nicht hinein
	        ","
			12.09.2020 07:30 Uhr
		",gesellschaft
"
	            Corona-Ausschuss: ""Es werden Gehirnwäschen im großen Stil durchgeführt"" – Teil 2
	        ","
			11.09.2020 20:32 Uhr
		",gesellschaft
"
	            ""Schande für alle Künstler"" oder nicht radikal genug? Hollywood streitet zu Oscar-Diversitätsquote
	        ","
			10.09.2020 22:07 Uhr
		",gesellschaft
"
	            Russischer Journalistenverband würdigt Julian Assange: ""Ein wahrer Kämpfer für die Meinungsfreiheit""
	        ","
			9.09.2020 19:40 Uhr
		",gesellschaft
"
	            Digitaler Nachlass: Gericht erlaubt Entsperrung des Facebook-Kontos der Verstorbenen für Eltern
	        ","
			9.09.2020 11:26 Uhr
		",gesellschaft
