Headline,Date,category
"
	            Merkel würdigt verstorbenen Ex-Minister: Wolfgang Clement hat ""große und bleibende Dienste erwiesen""
	        ","
			27.09.2020 18:31 Uhr
		",inland
"
	            ""Weltraumbahnhof"" in Rostock-Laage laut Deutschem Zentrum für Luft- und Raumfahrt möglich
	        ","
			26.09.2020 21:45 Uhr
		",inland
"
	            Offenburg: Ärzte sollen falsche Atteste gegen Maskenpflicht ausgestellt haben – Haftstrafe droht
	        ","
			26.09.2020 20:44 Uhr
		",inland
"
	            Braunkohle-Proteste in NRW: Kohlebunker besetzt, Zugverkehr beeinträchtigt
	        ","
			26.09.2020 15:34 Uhr
		",inland
"
	            BER-Flughafen: Eröffnung von Terminal 2 verzögert sich wegen Corona
	        ","
			26.09.2020 14:49 Uhr
		",inland
"
	            CSU-Parteitag mit großer Söder-Rede und jeder Menge Antragsarbeit
	        ","
			26.09.2020 08:25 Uhr
		",inland
"
	            Epizentrum Hamm: Bundesweiter Höchststand an Corona-Infektionen nach Großhochzeit
	        ","
			25.09.2020 17:04 Uhr
		",inland
"
	            Bundesregierung hat kein Interesse, Piloten und Ärzte von Nawalny auf Nowitschok zu testen – Wieso?
	        ","
			25.09.2020 16:25 Uhr
		",inland
"
	            FDP-Generalsekretär Volker Wissing: ""Gegenwärtig keine bedrohliche Corona-Lage""
	        ","
			25.09.2020 12:06 Uhr
		",inland
"
	            Sprecherin bestätigt: Nawalny bleibt bis Reha-Ende in Deutschland
	        ","
			25.09.2020 11:27 Uhr
		",inland
"
	            Pendler aufgepasst: Verdi ruft zu bundesweiten Warnstreiks im öffentlichen Nahverkehr auf
	        ","
			25.09.2020 10:43 Uhr
		",inland
"
	            Corona-Test: Massenandrang vor Arztpraxis in Berlin – Anwohner beunruhigt (Video)
	        ","
			25.09.2020 09:39 Uhr
		",inland
"
	            Drogenskandal in München weitet sich aus – Ermittlungen gegen 21 Polizisten
	        ","
			24.09.2020 22:26 Uhr
		",inland
"
	            Fall Nawalny: Rechtsexperte Heger zum russischen Rechtshilfeersuchen und der deutschen Reaktion
	        ","
			24.09.2020 21:34 Uhr
		",inland
"
	            Entwicklungsminister Müller: Pandemie-Maßnahmen haben ""eine der größten Armutskrisen ausgelöst""
	        ","
			24.09.2020 20:51 Uhr
		",inland
"
	            Wegen Dannenröder Forst: ""Solidarische autonome Kleingruppe"" markiert über 200 Autos ""zum Abfackeln""
	        ","
			24.09.2020 20:20 Uhr
		",inland
"
	            Tesla-Fabrik in Brandenburg: Gegner sorgen für Ärger bei Genehmigungsverfahren (Video)
	        ","
			24.09.2020 19:19 Uhr
		",inland
"
	            Chef von Cinema for Peace: Nawalny könnte laut Ärzten erst im Flugzeug vergiftet worden sein
	        ","
			24.09.2020 17:51 Uhr
		",inland
"
	            MAD-Präsident Christof Gramm wird abgelöst
	        ","
			24.09.2020 16:42 Uhr
		",inland
"
	            Sexismusvorwürfe: Roland Tichy gibt Vorsitz der Ludwig-Erhard-Stiftung ab
	        ","
			24.09.2020 15:59 Uhr
		",inland
"
	            Vor allem an Grundschulen: Gewalt gegen Lehrer nimmt zu
	        ","
			24.09.2020 14:46 Uhr
		",inland
"
	            Teilt Bundeskanzlerin Merkel die Kritik an der eskalierenden Russland-Politik von Heiko Maas?
	        ","
			24.09.2020 13:02 Uhr
		",inland
"
	            Thüringen wählt im April 2021 – oder doch später?
	        ","
			24.09.2020 09:14 Uhr
		",inland
"
	            Blinder Fleck Extremismus: MAD soll zusammen mit Verfassungsschutz und ""aggressiver"" ermitteln
	        ","
			24.09.2020 06:15 Uhr
		",inland
"
	            GEW-Chefin fordert Maskenpflicht im Unterricht: Pädagogisch zwar ""nicht sinnvoll"", aber es schützt
	        ","
			23.09.2020 17:04 Uhr
		",inland
"
	            100 Tage Corona-Warn-App: Top oder Flop?
	        ","
			23.09.2020 15:13 Uhr
		",inland
"
	            Wegen Corona-Infektion eines Personenschützers: Außenminister Heiko Maas in Quarantäne
	        ","
			23.09.2020 14:47 Uhr
		",inland
