Headline,Date,category
"
	            FinCEN-Dokumente decken auf: Roman Abramowitsch finanzierte Judaisierung von Ost-Jerusalem
	        ","
			27.09.2020 07:45 Uhr
		",naher osten
"
	            Oman: Touristen und Einheimischen drohen Haftstrafen für Tragen schulter- und kniefreier Kleidung
	        ","
			27.09.2020 07:15 Uhr
		",naher osten
"
	            Bundesregierung nicht gewillt, zur Aufhebung der Blockade gegen Gaza aufzurufen
	        ","
			26.09.2020 17:44 Uhr
		",naher osten
"
	            Designierter Premier des Libanon Mustapha Adib scheitert mit Regierungsbildung
	        ","
			26.09.2020 12:28 Uhr
		",naher osten
"
	            Wie sich die USA durch die Wiedereinsetzung von Iran-Sanktionen selbst diskreditieren
	        ","
			25.09.2020 21:21 Uhr
		",naher osten
"
	            Trotz Frieden mit Israel: Vereinigte Arabische Emirate müssen auf F-35-Kampfflugzeuge verzichten
	        ","
			25.09.2020 20:48 Uhr
		",naher osten
"
	            Russisches Verteidigungsministerium: Al-Nusra und Weißhelme planen chemischen Anschlag in Idlib
	        ","
			25.09.2020 06:30 Uhr
		",naher osten
"
	            Vertreter von Hamas und Fatah treffen sich zu Versöhnungsgesprächen in Ankara
	        ","
			24.09.2020 17:03 Uhr
		",naher osten
"
	            Errichten Israel und VAE Militärbasis auf jemenitischer Inselgruppe Sokotra?
	        ","
			23.09.2020 08:36 Uhr
		",naher osten
"
	            Paris: Es gibt keinen Beweis für Sprengstofflager der Hisbollah in Frankreich
	        ","
			23.09.2020 06:00 Uhr
		",naher osten
"
	            Teile und herrsche: Hintergründe des ""Abraham-Abkommens"" zwischen Israel und den Golfstaaten
	        ","
			22.09.2020 17:55 Uhr
		",naher osten
"
	            Endstation Katar? Erstes Geschwader der US Space Force landet nahe Doha
	        ","
			22.09.2020 11:20 Uhr
		",naher osten
"
	            Afghanistan: Name der Mutter darf nach jahrelangen Forderungen im Ausweis eingetragen werden
	        ","
			21.09.2020 16:11 Uhr
		",naher osten
"
	            EU-Parlament fordert Waffenembargo gegen Saudi-Arabien
	        ","
			20.09.2020 15:02 Uhr
		",naher osten
"
	            USA schicken Schützenpanzer nach Syrien und stocken Luftpatrouillen auf
	        ","
			19.09.2020 17:47 Uhr
		",naher osten
"
	            Drohende Hungersnot im Bürgerkriegsland Jemen
	        ","
			18.09.2020 16:21 Uhr
		",naher osten
"
	            Unterzeichnung des ""Abraham-Abkommens"": Wie Israel Frieden mit Freunden schloss
	        ","
			18.09.2020 06:45 Uhr
		",naher osten
"
	            US-Außenminister Pompeo: Frankreich sollte für Freiheit und nicht für Teheran stehen
	        ","
			17.09.2020 06:45 Uhr
		",naher osten
