Headline,Date,category
"
	            Jets, Drohnen, Weltall: US-Rüstungsfirmen profitierten von Corona-Hilfsgeldern
	        ","
			27.09.2020 21:38 Uhr
		",nordamerika
"
	            US-Senatsuntersuchung bestätigt: Hunter Biden nutzte die Stellung seines Vaters für Geschäfte aus
	        ","
			27.09.2020 19:02 Uhr
		",nordamerika
"
	            US-Regierung begründet Vorgehen gegen TikTok vor Gericht
	        ","
			27.09.2020 17:39 Uhr
		",nordamerika
"
	            Donald Trump nominiert Amy Coney Barrett für Sitz im Obersten Gericht
	        ","
			27.09.2020 06:36 Uhr
		",nordamerika
"
	            Medien: Trump plant Abtreibungsgegnerin als Ginsburg-Nachfolgerin
	        ","
			26.09.2020 09:03 Uhr
		",nordamerika
"
	            Finanzexperte: US-Dollar wird 2021 abstürzen – USA sollten sich auf Double-Dip Rezession einstellen
	        ","
			26.09.2020 07:15 Uhr
		",nordamerika
"
	            Wissenschaftler fordern: AstraZeneca soll Impfstoff-Tests in den USA wiederaufnehmen
	        ","
			25.09.2020 18:14 Uhr
		",nordamerika
"
	            USA: Proteste in Louisville flammen trotz Ausgangssperre erneut auf
	        ","
			25.09.2020 10:29 Uhr
		",nordamerika
"
	            Waldbrände in USA: Mexiko entsendet Feuerwehrleute zur Brandbekämpfung nach Kalifornien
	        ","
			24.09.2020 18:31 Uhr
		",nordamerika
"
	            Könnte die US-Präsidentenwahl entscheiden: Trump will den Supreme Court schnell nachbesetzen
	        ","
			24.09.2020 18:19 Uhr
		",nordamerika
"
	            USA: Zwei Polizisten bei Protesten in Louisville angeschossen
	        ","
			24.09.2020 14:10 Uhr
		",nordamerika
"
	            Pentagon: Noch immer keine Beweise für NYT-Bericht über ""russische Kopfgelder"" an Taliban
	        ","
			23.09.2020 12:43 Uhr
		",nordamerika
"
	            Fertigstellung verhindern: Die USA kündigen Bildung einer Koalition gegen Nord Stream 2 an
	        ","
			22.09.2020 19:16 Uhr
		",nordamerika
"
	            Kanada: ABC-Einsatz im Zusammenhang mit giftiger Post für Donald Trump
	        ","
			22.09.2020 09:18 Uhr
		",nordamerika
"
	            Ein Reichensteuerchen für New Jersey: Ex-Botschafter erregt Gemüter der Republikaner
	        ","
			20.09.2020 15:49 Uhr
		",nordamerika
"
	            Donald Trump billigt TikTok-Deal: ""Es wird eine ganz neue Firma sein""
	        ","
			20.09.2020 13:43 Uhr
		",nordamerika
"
	            Trump verbietet ab 20. September Downloads der chinesischen Apps TikTok und WeChat in den USA
	        ","
			20.09.2020 11:32 Uhr
		",nordamerika
"
	            ""Habe alle meine Freunde verloren"": Trump beklagt, Präsidentenamt habe sein soziales Leben ruiniert
	        ","
			20.09.2020 09:17 Uhr
		",nordamerika
"
	            Trump will patriotische Bildung einführen: ""Linke Indoktrination eine Form von Kindesmissbrauch""
	        ","
			19.09.2020 13:21 Uhr
		",nordamerika
"
	            Chancen für US-Präsident Trump durch Tod von Ruth Bader Ginsburg
	        ","
			19.09.2020 08:28 Uhr
		",nordamerika
