Headline,Date,category
"
	            Russische Forscher entdecken aussichtsreiches Naturantibiotikum
	        ","
			27.09.2020 07:00 Uhr
		",russland
"
	            Russischer Corona-Impfstoff Sputnik V wird an Risikogruppen getestet
	        ","
			26.09.2020 15:24 Uhr
		",russland
"
	            Ausländische RT-Mitarbeiter melden sich für Tests des Corona-Impfstoffs ""Sputnik V"" an
	        ","
			26.09.2020 13:28 Uhr
		",russland
"
	            Russischer Generalstabschef zu Militärübung ""Kaukasus 2020"": ""Kann es noch transparenter gehen?""
	        ","
			26.09.2020 12:36 Uhr
		",russland
"
	            ""Kaukasus 2020"": Großes Militärmanöver Russlands und fünf anderer Länder mit 80.000 Soldaten
	        ","
			25.09.2020 19:14 Uhr
		",russland
"
	            Gerichtsvollzieher beschlagnahmen Nawalnys Wohnung in Moskau
	        ","
			25.09.2020 13:18 Uhr
		",russland
"
	            Russland: Zweiter Lockdown nicht in Sicht – Anstieg war vorhersehbar und ist kontrollierbar
	        ","
			25.09.2020 07:15 Uhr
		",russland
"
	            Kremlsprecher: Als russischer Staatsbürger kann Nawalny jederzeit nach Russland zurückkehren
	        ","
			23.09.2020 15:57 Uhr
		",russland
"
	            Sputnik V: WHO-Chef für Europa äußert sich zuversichtlich zum russischen Corona-Impfstoff
	        ","
			23.09.2020 10:39 Uhr
		",russland
"
	            Russische Gesundheitsbehörde erlaubt Tests eines dritten Corona-Impfstoffkandidaten an Menschen
	        ","
			23.09.2020 06:15 Uhr
		",russland
"
	            Big Brother: Moskauerin kauft im Internet eigene Bewegungsdaten und verklagt die Stadtverwaltung
	        ","
			21.09.2020 06:00 Uhr
		",russland
"
	            Good Bye, Lenin? 40 Prozent der Russen wollen, dass Lenin endlich bestattet wird
	        ","
			20.09.2020 07:30 Uhr
		",russland
"
	            Russland: Betrunkene Mutter fährt mit Baby im Skatepark spazieren – Kindesentzug droht (Video)
	        ","
			20.09.2020 07:00 Uhr
		",russland
